param_name,param_value,pcmci_mae,pcmci_rmse,pcmci_bias,bagged_mae,bagged_rmse,bagged_bias,bootstrap_mae,bootstrap_rmse,bootstrap_bias
a,0.01,0.08130989729150451,0.0837757029369766,-0.054696445203321606,0.08236012189225174,0.08487796001300428,-0.055560170474704795,0.07063673935407269,0.07499749560022508,-0.0359828652251839
a,0.1188888888888888,0.049803569877158796,0.06447191171625964,0.006175539911400749,0.05038682937327167,0.06424314653621442,0.008095518469165525,0.04162699242652296,0.057665970362401474,0.0049666541497793235
a,0.2277777777777777,0.02446717083340174,0.029769588130946836,-0.02446717083340174,0.02418978013841528,0.03011497685111129,-0.02418978013841528,0.022381027103001216,0.028980269714239705,-0.020463663024145217
a,0.3366666666666666,0.031284106198459026,0.039244477676618074,0.0026559773393025256,0.023154442547513403,0.03194277365343982,0.022099002169502002,0.02967297038255624,0.03563476353994864,0.0005170360632556006
a,0.4455555555555555,0.051674021704955934,0.055668261741258086,-0.034846444330590594,0.051515117775387635,0.055514655394696515,-0.034687540401022295,0.03105593277352086,0.03757867204767739,-0.01706002692088054
a,0.5544444444444444,0.05903872764490673,0.06253383656594703,-0.05903872764490673,0.04567622916981293,0.05108630596541749,-0.04567622916981293,0.04975978677049771,0.059117055469363876,-0.0403641837397299
a,0.6633333333333333,0.0374229594840555,0.043471377655623394,0.0169739915233849,0.037569758844689334,0.04369862729013081,0.01712079088401873,0.04938388744260308,0.0645662757623895,0.033714287679993196
a,0.7722222222222221,0.06689234005929197,0.08291946660014463,0.039985616695332106,0.04306560627021227,0.04601123752483954,-0.026586719023720135,0.0749416158813364,0.08717208480832014,-0.020967129642074245
a,0.8811111111111111,0.038023852620239405,0.059918905951413484,0.03755721517465305,0.03398228866067435,0.039443753466427776,0.03225928566410145,0.051731478201570466,0.07367145937475095,0.048394494659382066
a,0.99,0.10678221387945536,0.10881203403703639,-0.10678221387945536,0.08543002339767383,0.09559254279188542,-0.08543002339767383,0.09680267683129946,0.0996160714908637,-0.09680267683129946
c,0.01,0.0646330361447518,0.0646330361447518,0.0646330361447518,0.0308533850873296,0.0308533850873296,0.0308533850873296,0.033179630793014336,0.038142040535186786,0.02230189777218434
c,0.1188888888888888,0.02699226383134605,0.03022724057037675,-0.0006266682519477478,0.02893530062787185,0.03110375016206198,0.0055211212937816,0.03118870673103814,0.0331529044398597,0.0047899234568631
c,0.2277777777777777,0.05955911476579993,0.06999839926950199,0.05955911476579993,0.0678989571842398,0.08585368439083084,0.0678989571842398,0.04864885817187296,0.06710969976941132,0.04864885817187296
c,0.3366666666666666,0.04174777952507118,0.0575669019211428,-0.016547400964229676,0.02932929121603925,0.03528398605917459,-0.00412891265519775,0.033042779951075955,0.0404645537469069,-0.017053696540922838
c,0.4455555555555555,0.021453140421077238,0.024991853975961383,0.0047129877559952404,0.02137234494775802,0.02490424272959523,0.004793783229314461,0.02331693150401456,0.02871145402348681,0.01472521481212696
c,0.5544444444444444,0.08215365588499586,0.08739974615437973,0.0012994125575470222,0.0805082139287307,0.08535267183399717,0.002474563823331061,0.07896684569142656,0.08201014637975738,0.002467352791404841
c,0.6633333333333333,0.08695340157893008,0.11669959523460073,-0.036916996482645105,0.09433030344037802,0.1256078798919415,-0.05818278776384253,0.08588498333206762,0.11348805601713415,-0.039970026454440505
c,0.7722222222222221,0.07680473317844504,0.09239566393992281,-0.044067902835683515,0.078606241252379,0.09315313334104856,-0.054426740463124325,0.07175134142912212,0.09100111130629607,-0.04214187532872356
c,0.8811111111111111,0.06486600145271863,0.06993833517314892,0.028053078997425502,0.0667429899475795,0.07147889394746962,0.02617609050256463,0.06107264205163524,0.062233990739622894,-0.006076687303182521
c,0.99,0.0261738969703509,0.031027880106522403,0.0014418505580795007,0.02753913176324875,0.033005849617882076,0.002807085350977352,0.02824981503295424,0.03191202204861484,-0.00022285314791615913
sigmaN,0.1,0.0308766051188175,0.0347012090170107,-0.0308766051188175,0.054365449431775334,0.0710607241643514,0.01794611507594823,0.044799871476953475,0.0577549332240653,-0.0014656001450763997
sigmaN,0.4222222222222221,0.004596920842985,0.004596920842985,0.004596920842985,0.0638424531730618,0.08709702594364956,-0.059245532330076796,0.049719589891792246,0.0571302922672795,-0.025767881202176084
sigmaN,0.7444444444444444,0.01750543419056905,0.017800063988187318,0.00322522119911475,0.0149065744849021,0.014919728268115625,0.0006263614934478006,0.05801618451001191,0.06630411591016322,0.03035182942950988
sigmaN,1.0666666666666669,0.040315167699100825,0.049525426281564755,-0.040315167699100825,0.040315167699100825,0.049525426281564755,-0.040315167699100825,0.048965842942101365,0.05715294588226789,-0.01168379001169032
sigmaN,1.3888888888888888,0.028182740906453497,0.037960205262588885,-0.020849906005573383,0.027650208098338458,0.03793271224657028,-0.02138243881368842,0.033257277186592375,0.03856832679552386,-0.017191711682767778
sigmaN,1.711111111111111,0.05008567531493515,0.0587382031128937,0.0029912079722701004,0.04768836804740245,0.05722023508169076,-0.0023661903045488503,0.046158630857913927,0.055291101937364605,0.007691638905624081
sigmaN,2.033333333333333,0.046201476424672844,0.06008002726600925,-0.03840616164712135,0.04886272346524529,0.058119731171051264,-0.04366584694687763,0.03588338395872472,0.04636045437848766,-0.03291427737480976
sigmaN,2.355555555555556,0.06119062963869336,0.07734543001557699,-0.06119062963869336,0.06014046924683153,0.07592397550423852,-0.06014046924683153,0.06434395872761325,0.07693833042386267,-0.0636721246708714
sigmaN,2.6777777777777776,0.03205811031789917,0.03613979832731096,-0.024226044691793236,0.031853761578889105,0.03508723806950749,-0.02261671829615004,0.04439763897164918,0.04786021573682297,-0.020082081507417658
sigmaN,3.0,0.06419414780694294,0.07199922500410776,-0.0414277419716141,0.060617810337202524,0.07018090539813401,-0.031513093951168226,0.06766799694597905,0.07737718455831279,-0.04213824972719218
B,10.0,0.012515937636526576,0.017466760598684686,0.003597976362542426,0.01984029692247754,0.029355611977286984,-0.005871716819835539,0.031373877136081564,0.03909679271336112,-0.016777138017085
T,200.0,0.06800322801452444,0.08677295988109043,0.000998582296257805,0.052524375104997745,0.07408863132351962,-0.0346375722419552,0.07588066078934189,0.10617386280784724,0.0005712472094475618
T,300.0,0.01033204248230945,0.010438292528601572,-0.0014855467197002498,0.02613943394949165,0.026492115562264995,0.004308384820854149,0.03294314301079057,0.03691937368195945,0.008562862158475858
T,400.0,0.0790116448710415,0.10260649111684217,-0.030084470791345363,0.08686103084407547,0.10799758083181023,-0.022235084818311403,0.10931336463105383,0.13040744810725674,-0.044965575190431664
T,500.0,0.028322025932862826,0.029049628208832893,-0.011720525517941876,0.03246985610253343,0.03627407485099365,0.0024800091716073586,0.03312300566004156,0.04009419182945654,0.005519078246637638
T,600.0,0.05676829192192707,0.058415152574897225,0.05676829192192707,0.05697715446346214,0.05866990710246328,0.05697715446346214,0.054928574814863296,0.059417541359545856,0.0434326910691123
T,700.0,0.05626045467844219,0.06395422289205596,-0.0273536290800916,0.05525813227183532,0.06325122332128671,-0.028355951486698477,0.05636881663809188,0.06843152299035088,-0.02406244564582156
T,800.0,0.07098238418398249,0.07607494902517181,0.043147941806135744,0.07098238418398249,0.07607494902517181,0.043147941806135744,0.07386169358364103,0.0766785686239001,0.01621497025245014
T,900.0,0.04881798601370845,0.061136620700009824,-0.04881798601370845,0.04881798601370845,0.061136620700009824,-0.04881798601370845,0.036847692172038204,0.04525746226585225,-0.0114649068089906
T,1000.0,0.017699103104707757,0.01898108549873984,-0.0009442811896149194,0.016661880286107815,0.018842287966085253,9.861422817677712e-05,0.014922453998252561,0.01648117181926281,-0.0012296810816860397
T,1500.0,0.02764786318604462,0.03229267841390179,-0.00966824839971802,0.027614351335891164,0.03257701059635105,-0.010166469773417359,0.02780608147130096,0.031785339120600595,-0.008108528487092159
T,2000.0,0.021516658219701522,0.02654104211367245,-0.01350342111843208,0.021516658219701522,0.02654104211367245,-0.01350342111843208,0.02273632557108284,0.026829696988397895,-0.01301735124813344
T,3000.0,0.024802927889975634,0.03039926721080527,-0.024802927889975634,0.024802927889975634,0.03039926721080527,-0.024802927889975634,0.02514253773128952,0.03249699775864934,-0.004895105024221561
T,5000.0,0.0164107103549009,0.019419674501296343,0.0103710323905034,0.016316854004736626,0.01925474556703214,0.010277176040339127,0.01642864580019402,0.019513619991927328,0.0027212965353327788
