Parameter,Value,Effect,Method,MAE,RMSE,Bias,CI_Coverage
auto,0.2,0_-3_to_3_0,pcmci,0.08751508593559243,0.08751508593559243,0.08751508593559243,
auto,0.2,0_-3_to_3_0,bagged,0.08751508593559243,0.08751508593559243,0.08751508593559243,
auto,0.2,0_-3_to_3_0,bootstrap,0.09000902374585451,0.09000902374585451,0.09000902374585451,0.0
cross,0.5,0_-3_to_3_0,pcmci,0.20014464855194092,0.20014464855194092,0.20014464855194092,
cross,0.5,0_-3_to_3_0,bagged,0.20014464855194092,0.20014464855194092,0.20014464855194092,
cross,0.5,0_-3_to_3_0,bootstrap,0.19115195671717328,0.19115195671717328,0.19115195671717328,0.0
