param_name,param_value,effect_key,true_effect,true_graph_effect,pcmci_effect,bagged_effect,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_success_rate,bootstrap_effects,true_effect_time,true_graph_effect_time,pcmci_effect_time,bagged_effect_time,bootstrap_effects_time,pcmci_error,pcmci_abs_error,pcmci_squared_error,bagged_error,bagged_abs_error,bagged_squared_error,bootstrap_error,bootstrap_abs_error,bootstrap_squared_error,ci_covers_true
auto,0.01,0_-2_to_3_0,0.2600000500679016,0.25375550985336304,0.25012457370758057,0.25012457370758057,0.250106721139345,0.001256106466872839,0.24978501733547628,0.25042842494321377,0.305,"[None, None, None, None, None, None, None, 0.2495058178901672, None, None, None, None, 0.2489868551492691, 0.2499714642763138, None, None, None, None, 0.2534838616847992, 0.24934810400009158, 0.2498689591884613, None, 0.24921399354934698, None, None, None, None, 0.24933847784996033, None, None, None, None, None, None, None, None, None, 0.25309523940086365, None, None, None, 0.24919657409191132, None, None, 0.24916549026966098, None, None, None, None, None, 0.24919924139976496, 0.24939416348934174, 0.2493072748184204, None, 0.25012457370758057, None, 0.2499765753746033, None, 0.249760776758194, 0.2501402497291565, None, None, 0.25058361887931824, 0.24926365911960602, None, None, None, None, 0.25053498148918146, 0.2532447874546051, 0.2507044374942779, None, None, None, 0.24923524260520938, 0.25342750549316406, None, 0.24932965636253354, 0.24921295046806335, None, 0.24978859722614288, None, 0.2498215585947037, None, None, None, None, 0.24879926443099978, None, None, None, None, None, None, None, None, None, None, None, None, 0.25018659234046936, None, 0.25012457370758057, 0.2493826448917389, None, None, 0.24984531104564672, 0.24880942702293393, None, None, None, 0.24946865439414975, None, None, None, 0.24937085807323453, None, 0.2501143515110016, None, None, None, None, 0.25065603852272034, 0.2532539367675781, None, None, None, None, None, 0.24917231500148773, 0.2494449317455292, None, None, 0.24959447979927063, None, None, None, None, 0.2529255151748657, 0.2498918771743774, None, None, None, None, None, None, None, 0.25362318754196167, 0.24957892298698425, None, None, 0.2507006824016571, None, None, 0.2490512728691101, None, None, None, None, 0.24906608462333682, None, None, None, None, None, 0.24926365911960602, 0.2504175901412964, None, None, 0.2504916489124298, None, 0.25019997358322144, None, None, 0.24972386658191684, None, None, None, None, None, 0.25083762407302856, 0.25055164098739624, 0.2497565895318985, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.24933739006519318, 0.24917875230312347, 0.2494656443595886, None]",0.1069939136505127,0.5474860668182373,1.9119999408721924,1.9130470752716064,220.39061188697815,-0.009875476360321045,0.009875476360321045,9.752503334325979e-05,-0.009875476360321045,0.009875476360321045,9.752503334325979e-05,-0.0098933289285566,0.0098933289285566,9.787795728861487e-05,False
auto,0.06157894736842105,0_-2_to_3_0,0.3115789294242859,0.3044734001159668,0.30427905917167664,0.3043284714221954,0.3023665417324413,0.005127598057628605,0.3009803578052203,0.3037527256596623,0.275,"[None, None, None, None, None, None, 0.30379062891006475, 0.304054707288742, 0.3042614161968231, None, None, 0.30211833119392395, None, None, None, 0.30261683464050293, None, None, None, 0.304001122713089, None, 0.30257508158683777, None, None, None, None, None, None, None, None, None, None, 0.30266258120536804, None, 0.30242934823036194, 0.3042564988136292, None, 0.303466260433197, 0.3044552803039551, 0.3024883270263672, None, None, 0.30265799164772034, None, None, None, None, None, None, 0.30385640263557434, None, 0.27716973423957825, None, None, None, None, None, None, None, None, None, None, None, 0.30412113666534424, None, None, None, 0.30376124382019043, None, None, None, 0.3026223778724671, None, None, None, None, None, 0.30441468954086304, None, 0.30455917119979853, None, None, None, None, None, None, 0.3025237917900085, None, 0.3026122450828552, 0.30216211080551153, None, None, None, None, 0.30426734685897827, None, None, None, 0.30372801423072815, 0.3041831851005554, 0.30381760001182556, None, None, None, None, None, None, None, 0.3028724193572998, None, None, None, 0.30352452397346497, 0.30371734499931335, None, None, None, None, None, None, None, None, None, None, None, None, 0.3025638163089752, None, None, 0.3043055236339569, None, None, 0.30289280414581293, None, None, 0.30238655209541326, None, None, None, 0.30216309428215027, 0.3023133873939514, None, None, None, 0.304571658372879, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.30275213718414307, 0.3024340569972992, None, None, None, 0.3039698898792267, None, 0.3024818599224091, 0.3044072687625885, None, None, 0.3024943768978119, None, None, None, 0.3043284714221954, None, None, None, 0.27540075778961176, 0.30311545729637146, None, 0.30412510037422175, None, None, None, None, None, 0.30398464202880865, 0.3034311532974243, None, 0.30267167091369623, None, 0.3041298985481262, 0.3026748597621918, None, 0.3035632669925689, 0.30325034260749817]",0.10308170318603516,0.5453915596008301,2.6038272380828857,1.3394033908843994,225.21527457237244,-0.007299870252609253,0.007299870252609253,5.328810570492948e-05,-0.00725045800209051,0.00725045800209051,5.2569141240078306e-05,-0.00921238769184457,0.00921238769184457,8.486808698484932e-05,False
auto,0.1131578947368421,0_-2_to_3_0,0.36315780878067017,0.355195164680481,0.35499081015586853,0.3550551235675812,0.35402399554090985,0.000701843217186658,0.3538410942023483,0.3542068968794714,0.295,"[0.3534345328807831, None, 0.3546728193759918, 0.35335218906402593, None, None, None, None, None, None, None, 0.3537819981575012, None, 0.3532741665840149, 0.3538933992385864, None, 0.353248655796051, None, 0.35425755381584173, None, None, None, None, None, 0.3550850749015808, 0.35324057936668396, None, 0.35401964187622076, None, 0.3538983166217804, None, 0.35507041215896606, None, None, None, None, None, None, None, None, None, 0.3547256588935852, 0.35314649343490606, 0.35444819927215576, 0.3548206090927124, 0.3545477986335754, None, None, None, None, None, None, 0.3542667329311371, None, None, None, None, None, None, None, None, 0.3542177677154541, None, 0.353865534067154, 0.353402704000473, None, None, None, 0.3544002175331115, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.3550218641757965, None, None, None, None, None, None, None, None, 0.35278594493865967, None, 0.3548988401889801, None, 0.3534573018550873, 0.3534174859523773, None, None, None, 0.35334980487823486, 0.35323542356491094, None, 0.35345798730850225, None, None, None, 0.3551817834377288, None, None, None, None, 0.3543548882007599, 0.3550551235675812, None, 0.3545730412006378, 0.3537254333496093, None, None, None, None, None, None, 0.35389816761016846, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.35487955808639526, 0.35296010971069336, None, None, None, None, None, None, None, 0.3545913100242615, 0.35346439480781555, None, None, 0.3540131747722625, None, 0.35393142700195307, 0.3545666038990021, 0.35337531566619873, 0.3536387085914611, 0.35509368777275085, None, None, 0.3535682260990142, None, None, None, None, None, None, None, 0.3550669252872467, 0.355071634054184, 0.3527107536792755, 0.35370483994483953, None, 0.353540450334549, None, 0.3547213673591614, None, None, None, None, None, None, 0.3534573018550873, None, None, 0.3547751009464264, 0.35380953550338745, None, 0.35264283418655396, None, None, None, 0.3543483316898346]",0.10860204696655273,0.5661065578460693,2.605623960494995,1.3371460437774658,232.15514636039734,-0.008166998624801636,0.008166998624801636,6.669986653751181e-05,-0.00810268521308899,0.00810268521308899,6.565350766241096e-05,-0.009133813239760313,0.009133813239760313,8.342654429882079e-05,False
auto,0.16473684210526315,0_-2_to_3_0,0.41473689675331116,0.40593907237052923,0.40574026107788086,0.40574026107788086,0.40485097002238035,0.0007025613304357679,0.4046754754236032,0.4050264646211575,0.32,"[0.40468621253967285, None, None, 0.4056412875652313, 0.4046670794486999, None, 0.4036822021007538, None, None, None, None, 0.40456211566925043, None, None, None, None, None, None, 0.40534460544586176, None, None, None, None, 0.40542522072792053, None, None, None, None, None, None, None, None, None, None, None, 0.404729425907135, None, None, None, None, None, 0.404572993516922, None, None, 0.4053826630115509, None, None, None, None, None, 0.40582320094108587, 0.40478157997131353, None, None, None, None, 0.40381789207458496, None, None, None, None, None, None, 0.40454453229904175, None, None, 0.4041786789894104, 0.4060262143611908, None, 0.4043515324592591, None, None, None, None, 0.40421879291534424, 0.4046473801136017, None, None, 0.40459367632865906, None, None, 0.404453456401825, 0.40440794825553894, None, None, None, 0.40355670452117914, None, None, 0.4046285152435303, 0.4041462242603302, None, None, 0.406097948551178, 0.4047297835350037, None, 0.40453162789344793, 0.4053665101528168, 0.40644213557243347, 0.4042121469974518, 0.404438465833664, 0.4042856693267822, None, None, None, 0.40448051691055303, 0.4054454267024994, 0.40608546137809753, None, 0.4046378135681153, None, None, None, None, 0.4038401544094086, None, None, 0.40536427497863775, None, None, 0.4041832387447357, None, 0.40544575452804565, 0.40441933274269104, None, None, None, 0.4041533172130584, None, 0.4059414863586426, 0.4050222337245941, 0.4060951769351959, None, None, 0.4041626751422882, None, None, 0.40508177876472473, None, None, 0.40411040186882013, 0.4057519137859344, None, None, 0.4055505990982055, 0.4046680629253388, None, None, None, 0.4056192934513092, None, None, None, None, None, None, 0.40532061457633967, 0.40526643395423884, None, None, 0.40482935309410095, None, None, None, None, 0.40480473637580866, None, None, None, None, None, None, None, 0.4046728312969208, None, None, None, None, 0.40411075949668884, 0.40614914894104004, None, None, None, 0.40413668751716614, 0.40372467041015625, 0.40574780106544495, None, None, None, 0.4046657085418701, None, None, None, None, None, None, None, None, None, None]",0.11841702461242676,0.5272009372711182,2.5372488498687744,1.6908504962921143,260.5820894241333,-0.008996635675430298,0.008996635675430298,8.093945347642517e-05,-0.008996635675430298,0.008996635675430298,8.093945347642517e-05,-0.009885926730930805,0.009885926730930805,9.773154732933224e-05,False
auto,0.2163157894736842,0_-2_to_3_0,0.46631574630737305,0.4567201435565949,0.4565482437610626,0.4565482437610626,0.4558062449549184,0.0007248388891948554,0.45562805731584205,0.45598443259399474,0.33,"[None, 0.45568516850471497, 0.454764574766159, None, None, None, 0.45451357960700994, None, 0.45642033219337463, None, None, None, None, None, 0.4549073874950409, None, 0.4549549520015716, None, 0.45498642325401306, None, None, None, None, None, None, 0.45624968409538275, 0.4550963938236236, None, None, None, None, None, None, 0.4567486643791199, None, None, None, None, None, 0.4555717408657073, None, None, 0.45736292004585255, 0.4565861225128173, 0.4551927149295807, None, None, None, None, None, None, 0.4549372494220733, None, None, None, None, None, None, None, 0.45489305257797247, 0.45515152812004084, 0.4555353522300721, 0.4553650319576264, 0.4566224813461304, None, None, None, None, 0.45574334263801575, None, 0.4551988244056702, 0.45632392168045044, None, None, None, 0.45590931177139277, 0.45609626173973083, 0.4553355872631073, 0.4551253318786621, None, 0.4559957087039947, 0.4565647840499878, None, None, 0.4553282558917999, None, 0.4565548598766327, None, 0.45736292004585255, None, None, 0.4565647840499878, 0.4555394351482391, None, None, 0.4565561413764953, None, None, None, 0.455521672964096, None, 0.45624384284019476, 0.45623981952667236, None, None, 0.4565861225128173, 0.4553540050983429, None, None, None, None, 0.454513281583786, None, None, 0.4554566144943238, None, 0.45656776428222656, None, 0.45635345578193653, 0.4568196833133698, None, None, 0.4556922018527985, None, None, None, None, None, None, None, None, 0.45439484715461737, 0.45548540353775024, 0.45545440912246704, 0.45526376366615295, 0.4559139311313629, None, None, None, None, None, None, None, 0.4565647840499878, 0.45597490668296825, None, 0.45747941732406616, None, 0.45512285828590393, None, None, None, None, None, None, None, None, None, 0.4555225968360901, None, 0.45627221465110784, None, 0.4559563398361206, 0.4546920657157898, None, None, 0.456749826669693, None, None, 0.4561249315738678, None, 0.45627433061599726, 0.4557285606861115, None, None, None, 0.45504865050315857, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.45613706111907965, None, None, None, None, None, 0.455957978963852, None]",0.10573005676269531,0.5363965034484863,2.499945640563965,1.7104904651641846,255.36661005020142,-0.009767502546310425,0.009767502546310425,9.540410599218063e-05,-0.009767502546310425,0.009767502546310425,9.540410599218063e-05,-0.010509501352454653,0.010509501352454653,0.00011044961867724618,False
auto,0.26789473684210524,0_-2_to_3_0,0.5178947448730469,0.5075490474700929,0.5074256062507629,0.5074256062507629,0.5066092323373865,0.0007400400491908383,0.5064072402872174,0.5068112243875557,0.27,"[None, None, None, None, None, None, None, None, None, 0.5081140398979187, 0.5062726140022278, 0.5069435238838196, 0.506563127040863, None, None, None, None, None, None, 0.5063850283622742, None, 0.5058881640434264, None, None, None, None, None, None, 0.5071897506713867, 0.5059067606925964, None, None, None, 0.5050178170204164, 0.5070019960403441, None, None, None, 0.5059823989868165, 0.5060334205627441, 0.5071605443954468, 0.5065103769302367, None, None, 0.5072307586669923, None, None, None, 0.5064384937286377, None, None, 0.5063030123710632, None, None, 0.5059619545936586, None, None, None, None, 0.5050178170204164, 0.5062872171401978, None, 0.5065618753433228, 0.508297324180603, None, None, None, None, None, 0.5068038105964661, None, None, None, None, 0.5058565139770508, 0.5056676864624023, None, None, None, None, None, None, None, None, 0.5078224539756775, None, None, None, None, 0.5058757066726685, None, None, None, None, 0.5066656470298767, 0.5062716007232666, None, 0.5069561004638673, None, None, None, None, 0.5074717998504638, None, None, None, None, None, None, None, None, None, None, None, 0.5058902502059937, None, None, None, 0.5073449611663818, None, 0.5058462619781494, None, None, None, None, None, None, None, 0.5067624449729919, 0.5066351890563966, None, None, None, None, None, None, None, None, None, None, None, 0.5062568783760071, None, 0.5064696073532104, None, None, 0.5074921250343323, None, None, 0.5065912008285522, 0.5064698457717896, None, None, None, 0.5072566866874694, None, None, None, None, 0.505883276462555, None, None, 0.5064261555671691, None, None, 0.506811261177063, None, None, None, None, None, 0.5081139206886292, None, 0.5063436031341553, None, None, 0.505900502204895, 0.5058596134185792, None, None, None, None, 0.5084883570671082, None, None, 0.5071176290512086, None, None, None, None, None, None, None, None, None, 0.5070719718933105, 0.5066365599632263, 0.50677090883255, None, None]",0.10499453544616699,0.5355961322784424,2.5399560928344727,1.650949239730835,217.47419357299805,-0.010469138622283936,0.010469138622283936,0.00010960286349259718,-0.010469138622283936,0.010469138622283936,0.00010960286349259718,-0.011285512535660347,0.011285512535660347,0.00012736279319254683,False
auto,0.3194736842105263,0_-2_to_3_0,0.5694736242294312,0.5584261417388917,0.5583686232566833,0.5583686232566833,0.5573074271281561,0.0008983007552070412,0.5570753714363774,0.5575394828199347,0.3,"[None, None, 0.5580862164497375, None, 0.5582414865493774, 0.5563150048255922, 0.5578388571739197, None, None, None, None, None, 0.5588817000389099, None, 0.556643545627594, None, None, None, None, 0.5586341619491577, None, None, None, 0.556384801864624, None, None, None, None, None, None, None, 0.5557172298431396, None, None, None, None, 0.5581113696098328, None, None, None, 0.5570166110992433, 0.5572893023490907, None, None, None, None, None, None, None, None, None, None, 0.5581588745117189, None, None, None, None, None, 0.5585094690322876, None, None, None, None, None, None, None, 0.5583686232566833, None, None, None, None, 0.5589126348495483, None, None, 0.5582161545753479, 0.557762086391449, 0.5572324395179749, None, None, 0.556402027606964, None, None, None, None, None, 0.5575517416000365, None, None, 0.5583686232566833, 0.5567018389701844, None, None, 0.5576202869415283, 0.5574653148651123, None, None, None, None, None, None, None, 0.5556742548942566, None, None, None, None, 0.5569238662719727, 0.5569626688957213, None, None, None, 0.556827425956726, None, 0.5572666525840759, None, None, None, None, 0.5556742548942566, 0.5558457970619202, 0.5590596199035645, 0.5582535266876221, None, None, None, None, None, None, 0.5563175082206726, None, 0.5575785636901854, None, None, 0.5571298599243164, 0.5558739304542542, 0.5571697950363159, None, 0.558897078037262, None, 0.5563607811927795, None, 0.5582311749458313, None, None, None, None, None, None, 0.556975245475769, None, None, None, None, None, None, None, 0.5574026703834534, None, 0.5556413531303407, 0.557762086391449, None, 0.5564246177673339, None, None, None, 0.5569398999214172, None, None, None, None, None, None, 0.5581898689270018, None, None, None, None, None, 0.5569222569465636, 0.5578000545501709, 0.5580224394798279, 0.5567018389701844, 0.5564098358154297, None, None, None, None, None, None, None, None, None, 0.5572966933250427, 0.557309091091156, None, None, 0.5575873255729676, 0.5567816495895386, 0.5574247241020203, 0.5563768148422241]",0.12317371368408203,0.53751540184021,2.518970489501953,2.541133165359497,244.5287163257599,-0.011105000972747803,0.011105000972747803,0.00012332104660472964,-0.011105000972747803,0.011105000972747803,0.00012332104660472964,-0.012166197101275089,0.012166197101275089,0.0001480163519070744,False
auto,0.37105263157894736,0_-2_to_3_0,0.6210527420043945,0.609342634677887,0.6093599200248717,0.6092115044593812,0.6081462800502777,0.0008626309902594403,0.6079194627937633,0.6083730973067921,0.29,"[None, None, 0.6092325448989868, None, None, 0.6076242923736571, 0.6070012450218201, None, 0.6086036562919617, None, None, None, 0.6088941097259521, None, 0.6078895330429077, 0.607934832572937, None, None, None, None, 0.6080104112625122, None, None, 0.6076462268829347, 0.6083627939224243, 0.6081075072288513, None, None, None, None, 0.6079024672508239, None, None, 0.6087973713874816, None, None, None, None, None, None, None, None, None, 0.607629656791687, None, None, None, None, None, None, None, 0.6082217693328857, None, None, None, 0.6080769300460815, 0.6075368523597717, 0.6074790358543396, None, None, None, None, None, None, None, None, 0.6080273985862732, 0.6087911725044249, None, 0.6098347306251526, None, None, None, 0.6087912917137145, None, None, None, 0.6087285876274109, None, None, None, None, 0.6083091497421265, 0.6078162789344786, None, None, None, 0.608733057975769, None, None, None, None, None, 0.6072304844856261, 0.608401894569397, None, None, None, None, 0.6074280738830566, None, None, 0.6077104806900023, None, None, None, 0.6083438992500305, None, 0.6089966297149658, 0.6075368523597717, None, None, None, None, None, None, 0.6083856821060181, 0.607733428478241, None, None, 0.6081734299659729, None, None, None, None, None, None, None, None, None, 0.6087889671325684, None, 0.6056898236274719, None, 0.605987548828125, None, None, None, None, 0.6081075072288513, None, None, None, None, None, None, None, None, 0.608936905860901, 0.6079970002174376, 0.6084153652191162, None, None, None, 0.6084809303283691, 0.6065002679824829, None, None, None, None, None, None, 0.607230007648468, 0.6089731454849244, 0.6078730225563049, None, None, None, None, None, None, None, None, 0.6076134443283082, 0.6093599200248717, 0.6108394861221313, None, None, None, None, None, None, None, None, None, None, 0.6101351976394653, 0.6082232594490051, 0.6078161001205444, None, 0.6081630587577821, None, None, 0.6082969307899475, 0.6078014969825746, None, None, 0.6073310971260071, None, None]",0.10196042060852051,0.5390448570251465,2.5600781440734863,1.8918423652648926,239.2393183708191,-0.011692821979522816,0.011692821979522816,0.00013672208584481187,-0.011841237545013317,0.011841237545013317,0.000140214906597433,-0.012906461954116821,0.012906461954116821,0.000166576760173065,False
auto,0.4226315789473684,0_-2_to_3_0,0.6726313829421997,0.6602832674980164,0.6603770852088928,0.6601536273956299,0.6593364079793295,0.0009894156109512716,0.6590987243975871,0.6595740915610718,0.345,"[None, None, 0.6591435074806212, None, 0.6592757105827332, None, 0.6586470007896422, 0.6575511693954468, None, None, 0.6586439013481141, None, None, None, None, 0.6609329581260681, None, 0.6594706773757935, None, 0.660653829574585, 0.6586129665374757, None, None, None, None, None, None, None, None, None, None, None, 0.6591466069221497, None, 0.6587581634521485, None, None, 0.6599483489990234, None, 0.6603770852088928, None, 0.6593217253684998, None, None, None, 0.6587153077125549, 0.6612524390220641, None, 0.6588115096092223, None, 0.6611390709877014, None, None, None, 0.6585995554924011, 0.6593496203422546, 0.6585754752159119, None, None, None, None, 0.6596205234527588, 0.6593657732009888, None, None, None, None, None, 0.6595349311828613, None, None, None, None, None, 0.6567154526710511, None, None, None, None, None, 0.659244179725647, 0.6587602496147157, None, 0.6577298641204835, None, None, None, 0.6610713005065918, None, 0.6616172194480896, None, 0.6596230268478392, None, 0.6594740152359008, None, None, None, 0.6590504050254821, 0.6590797305107117, None, None, 0.6592362523078918, 0.6589419245719911, 0.6592631936073303, None, 0.6591235399246217, None, 0.6585569977760314, 0.6595792770385741, 0.6581365466117858, None, None, 0.6605320572853087, None, None, 0.6592793464660646, None, None, 0.6579276919364929, 0.6592763066291808, None, 0.6594433784484863, None, None, None, None, None, None, None, None, None, None, 0.6585220694541931, 0.6583714485168458, 0.6595060825347899, 0.6593745946884155, None, None, 0.6611431837081908, None, None, 0.661031186580658, None, None, 0.6606687903404236, 0.6583626866340637, None, None, None, None, None, None, None, None, 0.6575295329093934, 0.6585754752159119, None, None, 0.6593471765518188, 0.658756196498871, None, None, None, 0.6593875288963317, None, None, None, 0.6586893200874328, None, None, 0.6599169373512268, None, 0.6603770852088928, 0.6589162945747375, 0.6587784290313721, None, 0.661128580570221, None, None, None, 0.6591666936874389, None, None, None, None, None, None, None, None, None, None, None, 0.6584760546684265, None, None, None, None, 0.6606200337409973, None, 0.6604569554328918]",0.11717414855957031,0.5266084671020508,2.4897875785827637,1.87343430519104,290.9278290271759,-0.012254297733306885,0.012254297733306885,0.00015016781293653025,-0.012477755546569824,0.012477755546569824,0.000155694383479954,-0.013294974962870243,0.013294974962870243,0.0001767563592633466,False
auto,0.47421052631578947,0_-2_to_3_0,0.7242104411125183,0.7112461328506471,0.7114147543907167,0.7114147543907167,0.709887275912545,0.0009955873004051537,0.7096181309642755,0.7101564208608144,0.275,"[None, None, None, None, None, None, None, None, None, None, None, None, 0.7099971175193788, None, None, None, 0.7087286114692687, None, 0.7105189561843872, None, None, None, None, None, None, None, None, 0.7094486951828003, None, 0.7089385390281677, None, None, None, 0.7100093960762023, 0.7095297574996948, None, None, None, None, 0.708015263080597, None, 0.7081815600395203, 0.7100669741630554, None, None, 0.7092671394348145, None, None, None, None, None, None, 0.7094229459762573, None, 0.7105616331100463, None, None, None, 0.7102382183074951, None, None, None, 0.7103540301322937, None, 0.7105708718299865, 0.7080085873603822, None, 0.7093346714973449, None, 0.70765221118927, None, None, None, 0.7096937894821166, None, None, None, None, 0.7099754214286804, 0.7102258205413818, 0.7088606357574463, None, 0.7091035842895507, None, None, None, 0.7116528749465942, None, None, None, 0.7096937894821166, None, None, None, None, 0.7102753520011902, None, None, None, 0.7095297574996948, None, None, 0.7102740406990052, None, 0.7095862030982971, None, None, None, None, None, None, 0.7110173106193542, None, 0.7098355889320374, None, 0.7098910808563232, None, None, 0.710180699825287, 0.7105018496513367, None, 0.7081002593040466, None, None, None, None, None, None, 0.7105637192726136, None, None, None, 0.7104068994522095, 0.7111803293228149, None, None, None, None, None, None, None, None, 0.7101455330848694, None, None, 0.7104570269584656, None, None, None, 0.7096605896949768, None, None, None, 0.7098983526229858, 0.7104057073593141, None, None, None, 0.7128122448921204, 0.7105517983436586, None, 0.7100647687911987, None, None, None, None, None, None, None, None, 0.708423912525177, None, None, None, None, 0.7095102071762085, None, None, None, None, 0.7099052667617799, None, None, None, None, None, 0.7102873921394347, None, None, 0.7105553746223451, 0.7102139592170715, None, 0.7126673460006714, None, None, None, None, None, 0.7088465094566345, None]",0.12261700630187988,0.5322263240814209,2.5645997524261475,1.7007956504821777,223.81550192832947,-0.012795686721801647,0.012795686721801647,0.00016372959868249097,-0.012795686721801647,0.012795686721801647,0.00016372959868249097,-0.014323165199973342,0.014323165199973342,0.0002051530613457274,False
