substudy,param_name,param_value,effect_key,X,Y,X_var,X_lag,Y_var,Y_lag,param_auto_coeff,param_cross_coeff,param_noise_sigma,param_n_vars,param_T,param_pc_alpha,param_tau_max,param_n_boot,param_seed,param_timestamp,true_effect,true_graph_effect,pcmci_effect,bagged_effect,true_graph_linreg_ci_lower,true_graph_linreg_ci_upper,pcmci_linreg_ci_lower,pcmci_linreg_ci_upper,bagged_linreg_ci_lower,bagged_linreg_ci_upper,bootstrap_linreg_ci_mean_width,bootstrap_linreg_ci_std_width,bootstrap_linreg_ci_min_width,bootstrap_linreg_ci_max_width,total_time,data_generation_time,discovery_pcmci_time,discovery_bootstrap_time,effect_true_effect_time,effect_true_graph_effect_time,effect_pcmci_effect_time,effect_bagged_effect_time,effect_bootstrap_effects_time,true_effect_time,true_graph_effect_time,pcmci_effect_time,bagged_effect_time,bootstrap_effects_time,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_success_rate,bootstrap_n_total,bootstrap_n_nan,bootstrap_adj_mean_size,bootstrap_adj_std_size,bootstrap_adj_min_size,bootstrap_adj_max_size,bootstrap_unique_graphs,pcmci_adjustment_set_size,bagged_adjustment_set_size,true_graph_adjustment_set_size,pcmci_error,pcmci_abs_error,pcmci_squared_error,bagged_error,bagged_abs_error,bagged_squared_error,bootstrap_error,bootstrap_abs_error,bootstrap_squared_error,bootstrap_ci_covers_true,true_graph_linreg_ci_covers_true,pcmci_linreg_ci_covers_true,bagged_linreg_ci_covers_true,bootstrap_effects_count,bootstrap_replica_ci_lower_count,bootstrap_replica_ci_upper_count
auto_study,a,0.01,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.01,0.5,1.0,4,500,0.05,4,200,,2025-04-03_15-39-17,0.2600000500679016,0.3145946180433946,0.25561351009543815,0.25561351009543815,0.20710740292915109,0.42208183315763814,0.1669803115659578,0.34424670862491846,0.1669803115659578,0.34424670862491846,0.18892358886431246,0.011467397177383654,0.17697710867657038,0.2175614585374801,400.03461623191833,0.0075092315673828125,0.2749311923980713,16.554301500320435,0.17922425270080566,1.5231711864471436,0.6763367652893066,0.7420222759246826,379.2524428367615,0.17922425270080566,1.5231711864471436,0.6763367652893066,0.7420222759246826,379.2524428367615,0.2779275742109011,0.021431700724370898,0.2712489861152937,0.2846061623065085,0.21,200,158,1.315,2.699217479196517,0,11,200,4,4,4,-0.004386539972463466,0.004386539972463466,1.9241732930019784e-05,-0.004386539972463466,0.004386539972463466,1.9241732930019784e-05,0.017927524142999474,0.017927524142999474,0.000321396121897829,False,True,True,True,200,200,200
auto_study,a,0.06157894736842105,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.06157894736842105,0.5,1.0,4,500,0.05,4,200,,2025-04-03_15-45-57,0.3115789294242859,0.36419782688827734,0.3659305525484498,0.3562615039001799,0.25661497918976994,0.47178067458678474,0.25796313642569674,0.4738979686712029,0.2578516451310943,0.4546713626692655,0.20209802593993426,0.01308650149541063,0.1771073418413538,0.21938321808754724,428.5646343231201,0.00513005256652832,0.15337920188903809,11.84346079826355,0.1792130470275879,1.5126066207885742,3.122581720352173,2.883820056915283,408.0518274307251,0.1792130470275879,1.5126066207885742,3.122581720352173,2.883820056915283,408.0518274307251,0.3429952152641337,0.031248936473022855,0.33313183386827444,0.3528585966599929,0.205,200,159,1.63,3.390147489416943,0,14,200,5,3,4,0.05435162312416392,0.05435162312416392,0.00295409893623115,0.04468257447589402,0.04468257447589402,0.001996532461793816,0.03141628583984779,0.03141628583984779,0.0009869830159710208,False,True,True,True,200,200,200
auto_study,a,0.1131578947368421,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.1131578947368421,0.5,1.0,4,500,0.05,4,200,,2025-04-03_15-53-06,0.36315780878067017,0.4135251451094026,0.4195738147051079,0.4195738147051079,0.305882471349884,0.5211678188689212,0.310881908692239,0.5282657207179768,0.310881908692239,0.5282657207179768,0.21359050858389367,0.008368646665748311,0.19724146841144413,0.21988273388973623,410.1494164466858,0.0029637813568115234,0.18254804611206055,13.504740953445435,0.17622900009155273,1.506537914276123,5.036148309707642,5.061690330505371,383.8115875720978,0.17622900009155273,1.506537914276123,5.036148309707642,5.061690330505371,383.8115875720978,0.41836689476886807,0.015308206872165785,0.4131083417229253,0.4236254478148108,0.175,200,165,1.47,3.2892400338072014,0,12,200,6,6,4,0.05641600592443774,0.05641600592443774,0.0031827657244661942,0.05641600592443774,0.05641600592443774,0.0031827657244661942,0.055209085988197903,0.055209085988197903,0.00304804317565223,False,True,True,True,200,200,200
auto_study,a,0.16473684210526315,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.16473684210526315,0.5,1.0,4,500,0.05,4,200,,2025-04-03_15-59-56,0.41473689675331116,0.46257088730862717,0.4712135921675783,0.4712135921675783,0.35491279551418714,0.5702289791030671,0.3618474568003053,0.5805797275348513,0.3618474568003053,0.5805797275348513,0.21897688844573646,0.003302047424892697,0.19902886387156526,0.22145133406690953,497.54509711265564,0.007746458053588867,0.19200825691223145,7.431626796722412,0.17635369300842285,1.5293495655059814,5.042064428329468,5.027705669403076,477.2968771457672,0.17635369300842285,1.5293495655059814,5.042064428329468,5.027705669403076,477.2968771457672,0.4746199343597018,0.004189840935509464,0.4732974573797063,0.4759424113396973,0.205,200,159,1.885,3.779123575645549,0,13,200,6,6,4,0.05647669541426714,0.05647669541426714,0.003189617124915903,0.05647669541426714,0.05647669541426714,0.003189617124915903,0.05988303760639063,0.05988303760639063,0.003585978192968395,False,True,True,True,200,200,200
auto_study,a,0.2163157894736842,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.2163157894736842,0.5,1.0,4,500,0.05,4,200,,2025-04-03_16-08-14,0.46631574630737305,0.5113157449892467,0.5227253240693664,0.5227253240693664,0.4037035180690654,0.618927971909428,0.41250686760705263,0.6329437805316803,0.41250686760705263,0.6329437805316803,0.2210684207084448,0.0016074064047485518,0.21662086076076892,0.22372701220673208,608.943603515625,0.007342815399169922,0.19078660011291504,13.897956132888794,0.17923498153686523,1.51149320602417,5.045243740081787,5.044410943984985,582.1352305412292,0.17923498153686523,1.51149320602417,5.045243740081787,5.044410943984985,582.1352305412292,0.52519997292593,0.0048737245305138024,0.5238292158128982,0.5265707300389618,0.255,200,149,2.355,4.118127608513364,0,13,200,6,6,4,0.0564095777619934,0.0564095777619934,0.0031820404632863803,0.0564095777619934,0.0564095777619934,0.0031820404632863803,0.05888422661855697,0.05888422661855697,0.003467352144465573,False,True,True,True,200,200,200
auto_study,a,0.26789473684210524,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.26789473684210524,0.5,1.0,4,500,0.05,4,200,,2025-04-03_16-18-23,0.5178947448730469,0.5597238160878197,0.5740304245552714,0.5740304245552714,0.45224716494928563,0.6672004672263538,0.4627933454070675,0.6852675037034753,0.4627933454070675,0.6852675037034753,0.22320552835526894,0.0018503142247432132,0.21781133268740044,0.22472942147414376,299.1661536693573,0.008116960525512695,0.20957207679748535,16.55933713912964,0.18156003952026367,1.5044667720794678,5.074321746826172,5.037754774093628,269.64072275161743,0.18156003952026367,1.5044667720794678,5.074321746826172,5.037754774093628,269.64072275161743,0.5768426647631282,0.003823669904853487,0.5752643313997747,0.5784209981264816,0.125,200,175,1.205,3.206707813318825,0,11,200,6,6,4,0.05613567968222455,0.05613567968222455,0.003151214533385318,0.05613567968222455,0.05613567968222455,0.003151214533385318,0.0589479198900813,0.0589479198900813,0.003474857259367443,False,True,True,True,200,200,200
auto_study,a,0.3194736842105263,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.3194736842105263,0.5,1.0,4,500,0.05,4,200,,2025-04-03_16-23-22,0.5694736242294312,0.6077424062086685,0.6250309678306467,,0.5005361617558491,0.7149486506614878,0.512625855415861,0.7374360802454324,,,0.22464490638416124,0.0033988057793135854,0.2166002046584865,0.22837655857862016,299.99143171310425,0.003613710403442383,0.1960914134979248,3.0076448917388916,0.17622900009155273,1.572037696838379,5.02622127532959,0.0003299713134765625,289.12304520606995,0.17622900009155273,1.572037696838379,5.02622127532959,0.0003299713134765625,289.12304520606995,0.6264284448284367,0.004824147693234277,0.6244371345314073,0.6284197551254662,0.125,200,175,1.155,3.1114265217099373,0,13,200,6,0,4,0.05555734360121556,0.05555734360121556,0.0030866184280235274,,,,0.056954820599005584,0.056954820599005584,0.0032438515894649108,False,True,True,,200,200,200
auto_study,a,0.37105263157894736,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.37105263157894736,0.5,1.0,4,500,0.05,4,200,,2025-04-03_16-28-22,0.6210527420043945,0.6553101957743848,0.6756048947933759,0.6756822738810568,0.5485786579613767,0.7620417335873928,0.5619066883924937,0.7893031011942582,0.5618694122208638,0.7894951355412498,0.22546909874599547,0.0052046643309499475,0.21477374279057893,0.23084752679623444,384.722642660141,0.002879619598388672,0.20455622673034668,3.0641961097717285,0.18268775939941406,1.501692295074463,5.118775367736816,5.722567081451416,367.92926836013794,0.18268775939941406,1.501692295074463,5.118775367736816,5.722567081451416,367.92926836013794,0.6753344605608121,0.006997436138762151,0.6728116158018923,0.677857305319732,0.16,200,168,1.565,3.6559232760001956,0,13,200,6,7,4,0.0545521527889814,0.0545521527889814,0.0029759373739123712,0.05462953187666231,0.05462953187666231,0.002984385753063263,0.05428171855641761,0.05428171855641761,0.002946504969438132,False,True,True,True,200,200,200
auto_study,a,0.4226315789473684,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.4226315789473684,0.5,1.0,4,500,0.05,4,200,,2025-04-03_16-34-47,0.6726313829421997,0.7023881649743579,0.7256049363031847,0.7256049363031847,0.5964395722064484,0.8083367577422673,0.6105243077180308,0.8406855648883386,0.6105243077180308,0.8406855648883386,0.22993054848986003,0.004465254733777513,0.2169436283850894,0.2338711784109495,459.03400015830994,0.004463672637939453,0.21705317497253418,15.681015491485596,0.18037652969360352,1.5087263584136963,5.028584957122803,5.120214223861694,430.30033016204834,0.18037652969360352,1.5087263584136963,5.028584957122803,5.120214223861694,430.30033016204834,0.7287234536554265,0.00498227495031875,0.7270119823293262,0.7304349249815267,0.175,200,165,1.675,3.717441996857516,0,13,200,6,6,4,0.05297355336098497,0.05297355336098497,0.002806197355689122,0.05297355336098497,0.05297355336098497,0.002806197355689122,0.05609207071322675,0.05609207071322675,0.00314632039689763,False,True,True,True,200,200,200
auto_study,a,0.47421052631578947,0_-2_to_3_0,"(0, -2)","(3, 0)",0,-2,3,0,0.47421052631578947,0.5,1.0,4,500,0.05,4,200,,2025-04-03_16-42-26,0.7242104411125183,0.7490448695303371,0.7748722702177598,0.7748722702177598,0.6443369601611711,0.8537527788995031,0.6583731120042688,0.8913714284312508,0.6583731120042688,0.8913714284312508,0.23188480892905505,0.006635253913989965,0.2116300164145133,0.23706633824129608,441.6283423900604,0.006656646728515625,0.2162010669708252,14.025099277496338,0.1762559413909912,1.5091009140014648,5.037763833999634,5.030068397521973,414.6944844722748,0.1762559413909912,1.5091009140014648,5.037763833999634,5.030068397521973,414.6944844722748,0.7781750635293561,0.00642125283565927,0.7760341112416558,0.7803160158170563,0.185,200,163,1.785,3.828677970265977,0,13,200,6,6,4,0.05066182910524153,0.05066182910524153,0.0025666209282886976,0.05066182910524153,0.05066182910524153,0.0025666209282886976,0.05396462241683775,0.05396462241683775,0.0029121804725918674,False,True,True,True,200,200,200
