param_name,param_value,pcmci_mae,pcmci_rmse,pcmci_bias,bagged_mae,bagged_rmse,bagged_bias,bootstrap_mae,bootstrap_rmse,bootstrap_bias
T,200.0,,,,,,,0.0818649164187427,0.0818649164187427,0.0818649164187427
T,300.0,,,,0.1605948920663273,0.1605948920663273,0.1605948920663273,0.1541017284301712,0.1541017284301712,0.1541017284301712
T,400.0,,,,,,,0.0728264366287354,0.0728264366287354,0.0728264366287354
T,500.0,0.0491880514810588,0.0491880514810588,0.0491880514810588,,,,0.0531281193381302,0.0531281193381302,0.0531281193381302
T,600.0,0.0314555717407678,0.0314555717407678,0.0314555717407678,,,,0.0183045137028656,0.0183045137028656,0.0183045137028656
T,700.0,,,,,,,0.0456193077573309,0.0456193077573309,0.0456193077573309
T,800.0,,,,,,,0.0085202552810442,0.0085202552810442,0.0085202552810442
T,900.0,,,,,,,0.0059521719199669,0.0059521719199669,0.0059521719199669
T,1000.0,,,,0.0040553621974999,0.0040553621974999,0.0040553621974999,0.0102873025653991,0.0102873025653991,0.0102873025653991
T,2500.0,0.0109974530334981,0.0109974530334981,0.0109974530334981,0.0166085323458622,0.0166085323458622,0.0166085323458622,0.0072456550614681,0.0072456550614681,0.0072456550614681
T,5000.0,0.012603755655282,0.012603755655282,-0.012603755655282,0.0128946724494771,0.0128946724494771,-0.0128946724494771,0.0136426056533133,0.0136426056533133,-0.0136426056533133
