param_name,param_value,pcmci_mae,pcmci_rmse,pcmci_bias,bagged_mae,bagged_rmse,bagged_bias,bootstrap_mae,bootstrap_rmse,bootstrap_bias
T,200.0,,,,,,,0.07403607102161527,0.07418345910247597,0.07403607102161527
T,300.0,,,,0.1605948920663273,0.16059489206632732,0.1605948920663273,0.15946363431550095,0.15946753969318875,0.15946363431550095
T,400.0,,,,,,,0.07467070071297607,0.07472317615032258,0.07467070071297607
T,500.0,0.0491880514810588,0.0491880514810588,0.0491880514810588,0.0491880514810588,0.0491880514810588,0.0491880514810588,0.05089668671397561,0.05092043718760539,0.05089668671397561
T,600.0,0.0314555717407678,0.0314555717407678,0.0314555717407678,0.0315872415335753,0.0315872415335753,0.0315872415335753,0.01966171643239422,0.020100841254889923,0.01966171643239422
T,700.0,,,,,,,0.04359985905148599,0.04362154727191779,0.04359985905148599
T,800.0,,,,,,,0.009917551979358138,0.010004105492699259,0.009917551979358138
T,900.0,,,,,,,0.00406174705398832,0.0041738203929046706,0.00406174705398832
T,1000.0,,,,0.0050669944548005,0.0050669944548005,0.0050669944548005,0.01052370703184884,0.010542767291580974,0.01052370703184884
T,2500.0,0.0109974530334981,0.0109974530334981,0.0109974530334981,0.01284853534935326,0.013106316212357284,0.01284853534935326,0.007784593710056359,0.007805647458431509,0.007784593710056359
T,5000.0,0.012603755655282,0.012603755655282,-0.012603755655282,0.01277830573179906,0.012779100484572594,-0.01277830573179906,0.01374110501154176,0.01374191905894264,-0.01374110501154176
