param_name,param_value,bootstrap_mae,bootstrap_rmse,bootstrap_bias,bagged_mae,bagged_rmse,bagged_bias,pcmci_mae,pcmci_rmse,pcmci_bias
a,0.01,0.0179275241429994,0.0179275241429994,0.0179275241429994,0.0043865399724634,0.0043865399724634,-0.0043865399724634,0.0043865399724634,0.0043865399724634,-0.0043865399724634
a,0.061578947368421,0.0314162858398477,0.0314162858398477,0.0314162858398477,0.044682574475894,0.044682574475894,0.044682574475894,0.0543516231241639,0.0543516231241639,0.0543516231241639
a,0.1131578947368421,0.0552090859881979,0.0552090859881979,0.0552090859881979,0.0564160059244377,0.0564160059244377,0.0564160059244377,0.0564160059244377,0.0564160059244377,0.0564160059244377
a,0.1647368421052631,0.0598830376063906,0.0598830376063906,0.0598830376063906,0.0564766954142671,0.0564766954142671,0.0564766954142671,0.0564766954142671,0.0564766954142671,0.0564766954142671
a,0.2163157894736842,0.0588842266185569,0.0588842266185569,0.0588842266185569,0.0564095777619934,0.0564095777619934,0.0564095777619934,0.0564095777619934,0.0564095777619934,0.0564095777619934
a,0.2678947368421052,0.0589479198900813,0.0589479198900813,0.0589479198900813,0.0561356796822245,0.0561356796822245,0.0561356796822245,0.0561356796822245,0.0561356796822245,0.0561356796822245
a,0.3194736842105263,0.0569548205990055,0.0569548205990055,0.0569548205990055,,,,0.0555573436012155,0.0555573436012155,0.0555573436012155
a,0.3710526315789473,0.0542817185564176,0.0542817185564176,0.0542817185564176,0.0546295318766623,0.0546295318766623,0.0546295318766623,0.0545521527889814,0.0545521527889814,0.0545521527889814
a,0.4226315789473684,0.0560920707132267,0.0560920707132267,0.0560920707132267,0.0529735533609849,0.0529735533609849,0.0529735533609849,0.0529735533609849,0.0529735533609849,0.0529735533609849
a,0.4742105263157894,0.0539646224168377,0.0539646224168377,0.0539646224168377,0.0506618291052415,0.0506618291052415,0.0506618291052415,0.0506618291052415,0.0506618291052415,0.0506618291052415
a,0.5257894736842105,0.0509177525293333,0.0509177525293333,0.0509177525293333,,,,0.0474893555064008,0.0474893555064008,0.0474893555064008
a,0.5773684210526315,0.0519652323821963,0.0519652323821963,0.0519652323821963,0.0434230216944879,0.0434230216944879,0.0434230216944879,0.0434230216944879,0.0434230216944879,0.0434230216944879
a,0.6289473684210526,0.0454004420671203,0.0454004420671203,0.0454004420671203,0.0385661318712123,0.0385661318712123,0.0385661318712123,0.0385661318712123,0.0385661318712123,0.0385661318712123
a,0.6805263157894736,0.0441931127613736,0.0441931127613736,0.0441931127613736,0.0331419897501629,0.0331419897501629,0.0331419897501629,0.0291895800060171,0.0291895800060171,0.0291895800060171
a,0.7321052631578947,0.0453545875477898,0.0453545875477898,0.0453545875477898,0.0276443837658038,0.0276443837658038,0.0276443837658038,,,
a,0.7836842105263158,0.0419051402515351,0.0419051402515351,0.0419051402515351,,,,,,
a,0.8352631578947368,0.0289557343024002,0.0289557343024002,0.0289557343024002,0.0233711325088776,0.0233711325088776,0.0233711325088776,,,
a,0.8868421052631579,0.0342055859754562,0.0342055859754562,0.0342055859754562,0.0271202297033017,0.0271202297033017,0.0271202297033017,0.0056914240141505,0.0056914240141505,0.0056914240141505
a,0.9384210526315788,0.0662285592820353,0.0662285592820353,0.0662285592820353,0.0376467571638245,0.0376467571638245,0.0376467571638245,,,
a,0.99,0.123380947213709,0.123380947213709,0.123380947213709,0.1225222908542491,0.1225222908542491,0.1225222908542491,0.1247822434306726,0.1247822434306726,0.1247822434306726
