param_value,pcmci_mae,pcmci_rmse,pcmci_bias,bagged_mae,bagged_rmse,bagged_bias,bootstrap_mae,bootstrap_rmse,bootstrap_bias,bootstrap_ci_coverage
0.01,0.009875476360321045,0.009875476360321045,-0.009875476360321045,0.009875476360321045,0.009875476360321045,-0.009875476360321045,0.0098933289285566,0.0098933289285566,-0.0098933289285566,0.0
0.06157894736842105,0.007299870252609253,0.007299870252609253,-0.007299870252609253,0.00725045800209051,0.00725045800209051,-0.00725045800209051,0.00921238769184457,0.00921238769184457,-0.00921238769184457,0.0
0.1131578947368421,0.008166998624801636,0.008166998624801636,-0.008166998624801636,0.00810268521308899,0.00810268521308899,-0.00810268521308899,0.009133813239760313,0.009133813239760313,-0.009133813239760313,0.0
0.16473684210526315,0.008996635675430298,0.008996635675430298,-0.008996635675430298,0.008996635675430298,0.008996635675430298,-0.008996635675430298,0.009885926730930805,0.009885926730930805,-0.009885926730930805,0.0
0.2163157894736842,0.009767502546310425,0.009767502546310425,-0.009767502546310425,0.009767502546310425,0.009767502546310425,-0.009767502546310425,0.010509501352454653,0.010509501352454653,-0.010509501352454653,0.0
0.26789473684210524,0.010469138622283936,0.010469138622283936,-0.010469138622283936,0.010469138622283936,0.010469138622283936,-0.010469138622283936,0.011285512535660347,0.011285512535660347,-0.011285512535660347,0.0
0.3194736842105263,0.011105000972747803,0.011105000972747803,-0.011105000972747803,0.011105000972747803,0.011105000972747803,-0.011105000972747803,0.012166197101275089,0.012166197101275089,-0.012166197101275089,0.0
0.37105263157894736,0.011692821979522816,0.011692821979522816,-0.011692821979522816,0.011841237545013317,0.011841237545013317,-0.011841237545013317,0.012906461954116821,0.012906461954116821,-0.012906461954116821,0.0
0.4226315789473684,0.012254297733306885,0.012254297733306885,-0.012254297733306885,0.012477755546569824,0.012477755546569824,-0.012477755546569824,0.013294974962870243,0.013294974962870243,-0.013294974962870243,0.0
0.47421052631578947,0.012795686721801647,0.012795686721801647,-0.012795686721801647,0.012795686721801647,0.012795686721801647,-0.012795686721801647,0.014323165199973342,0.014323165199973342,-0.014323165199973342,0.0
0.5257894736842105,0.01327669620513905,0.01327669620513905,-0.01327669620513905,0.013637363910675049,0.013637363910675049,-0.013637363910675049,0.014558921257654789,0.014558921257654789,-0.014558921257654789,0.0
0.5773684210526315,0.013598501682281383,0.013598501682281383,-0.013598501682281383,0.01399761438369751,0.01399761438369751,-0.01399761438369751,0.015061904345789245,0.015061904345789245,-0.015061904345789245,0.0
0.6289473684210526,0.01365429162979137,0.01365429162979137,-0.01365429162979137,0.014016211032867543,0.014016211032867543,-0.014016211032867543,0.01621280213197074,0.01621280213197074,-0.01621280213197074,0.0
0.6805263157894736,0.01369386911392212,0.01369386911392212,-0.01369386911392212,0.01369386911392212,0.01369386911392212,-0.01369386911392212,0.01579621434211731,0.01579621434211731,-0.01579621434211731,0.0
0.7321052631578947,0.013424038887023926,0.013424038887023926,-0.013424038887023926,0.013424038887023926,0.013424038887023926,-0.013424038887023926,0.016242744430663092,0.016242744430663092,-0.016242744430663092,0.0
0.7836842105263158,0.013172149658203125,0.013172149658203125,-0.013172149658203125,0.013172149658203125,0.013172149658203125,-0.013172149658203125,0.01674831108968755,0.01674831108968755,-0.01674831108968755,0.0
0.8352631578947368,0.008638024330139604,0.008638024330139604,-0.008638024330139604,0.008638024330139604,0.008638024330139604,-0.008638024330139604,0.015930391740107908,0.015930391740107908,-0.015930391740107908,0.0
0.8868421052631579,0.020586848258972168,0.020586848258972168,-0.020586848258972168,0.020602822303771973,0.020602822303771973,-0.020602822303771973,0.01914451862203692,0.01914451862203692,-0.01914451862203692,0.0
0.9384210526315789,0.009385108947753906,0.009385108947753906,-0.009385108947753906,0.009385108947753906,0.009385108947753906,-0.009385108947753906,0.11250622570514612,0.11250622570514612,-0.11250622570514612,0.0
0.99,1.1443625651154434,1.1443625651154434,-1.1443625651154434,1.1443625651154434,1.1443625651154434,-1.1443625651154434,1.164151729510305,1.164151729510305,-1.164151729510305,0.0
