param_name,param_value,effect_key,true_effect,true_graph_effect,pcmci_effect,bagged_effect,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_success_rate,true_effect_time,true_graph_effect_time,pcmci_effect_time,bagged_effect_time,bootstrap_effects_time,pcmci_error,pcmci_abs_error,pcmci_squared_error,bagged_error,bagged_abs_error,bagged_squared_error,bootstrap_error,bootstrap_abs_error,bootstrap_squared_error,ci_covers_true
auto,0.01,0_-2_to_3_0,0.2600000500679016,0.25375550985336304,0.25012457370758057,0.25012457370758057,0.250106721139345,0.001256106466872839,0.24978501733547628,0.25042842494321377,0.305,0.1069939136505127,0.5474860668182373,1.9119999408721924,1.9130470752716064,220.39061188697815,-0.009875476360321045,0.009875476360321045,9.752503334325979e-05,-0.009875476360321045,0.009875476360321045,9.752503334325979e-05,-0.0098933289285566,0.0098933289285566,9.787795728861487e-05,False
auto,0.06157894736842105,0_-2_to_3_0,0.3115789294242859,0.3044734001159668,0.30427905917167664,0.3043284714221954,0.3023665417324413,0.005127598057628605,0.3009803578052203,0.3037527256596623,0.275,0.10308170318603516,0.5453915596008301,2.6038272380828857,1.3394033908843994,225.21527457237244,-0.007299870252609253,0.007299870252609253,5.328810570492948e-05,-0.00725045800209051,0.00725045800209051,5.2569141240078306e-05,-0.00921238769184457,0.00921238769184457,8.486808698484932e-05,False
auto,0.1131578947368421,0_-2_to_3_0,0.36315780878067017,0.355195164680481,0.35499081015586853,0.3550551235675812,0.35402399554090985,0.000701843217186658,0.3538410942023483,0.3542068968794714,0.295,0.10860204696655273,0.5661065578460693,2.605623960494995,1.3371460437774658,232.15514636039734,-0.008166998624801636,0.008166998624801636,6.669986653751181e-05,-0.00810268521308899,0.00810268521308899,6.565350766241096e-05,-0.009133813239760313,0.009133813239760313,8.342654429882079e-05,False
auto,0.16473684210526315,0_-2_to_3_0,0.41473689675331116,0.40593907237052923,0.40574026107788086,0.40574026107788086,0.40485097002238035,0.0007025613304357679,0.4046754754236032,0.4050264646211575,0.32,0.11841702461242676,0.5272009372711182,2.5372488498687744,1.6908504962921143,260.5820894241333,-0.008996635675430298,0.008996635675430298,8.093945347642517e-05,-0.008996635675430298,0.008996635675430298,8.093945347642517e-05,-0.009885926730930805,0.009885926730930805,9.773154732933224e-05,False
auto,0.2163157894736842,0_-2_to_3_0,0.46631574630737305,0.4567201435565949,0.4565482437610626,0.4565482437610626,0.4558062449549184,0.0007248388891948554,0.45562805731584205,0.45598443259399474,0.33,0.10573005676269531,0.5363965034484863,2.499945640563965,1.7104904651641846,255.36661005020142,-0.009767502546310425,0.009767502546310425,9.540410599218063e-05,-0.009767502546310425,0.009767502546310425,9.540410599218063e-05,-0.010509501352454653,0.010509501352454653,0.00011044961867724618,False
auto,0.26789473684210524,0_-2_to_3_0,0.5178947448730469,0.5075490474700929,0.5074256062507629,0.5074256062507629,0.5066092323373865,0.0007400400491908383,0.5064072402872174,0.5068112243875557,0.27,0.10499453544616699,0.5355961322784424,2.5399560928344727,1.650949239730835,217.47419357299805,-0.010469138622283936,0.010469138622283936,0.00010960286349259718,-0.010469138622283936,0.010469138622283936,0.00010960286349259718,-0.011285512535660347,0.011285512535660347,0.00012736279319254683,False
auto,0.3194736842105263,0_-2_to_3_0,0.5694736242294312,0.5584261417388917,0.5583686232566833,0.5583686232566833,0.5573074271281561,0.0008983007552070412,0.5570753714363774,0.5575394828199347,0.3,0.12317371368408203,0.53751540184021,2.518970489501953,2.541133165359497,244.5287163257599,-0.011105000972747803,0.011105000972747803,0.00012332104660472964,-0.011105000972747803,0.011105000972747803,0.00012332104660472964,-0.012166197101275089,0.012166197101275089,0.0001480163519070744,False
auto,0.37105263157894736,0_-2_to_3_0,0.6210527420043945,0.609342634677887,0.6093599200248717,0.6092115044593812,0.6081462800502777,0.0008626309902594403,0.6079194627937633,0.6083730973067921,0.29,0.10196042060852051,0.5390448570251465,2.5600781440734863,1.8918423652648926,239.2393183708191,-0.011692821979522816,0.011692821979522816,0.00013672208584481187,-0.011841237545013317,0.011841237545013317,0.000140214906597433,-0.012906461954116821,0.012906461954116821,0.000166576760173065,False
auto,0.4226315789473684,0_-2_to_3_0,0.6726313829421997,0.6602832674980164,0.6603770852088928,0.6601536273956299,0.6593364079793295,0.0009894156109512716,0.6590987243975871,0.6595740915610718,0.345,0.11717414855957031,0.5266084671020508,2.4897875785827637,1.87343430519104,290.9278290271759,-0.012254297733306885,0.012254297733306885,0.00015016781293653025,-0.012477755546569824,0.012477755546569824,0.000155694383479954,-0.013294974962870243,0.013294974962870243,0.0001767563592633466,False
auto,0.47421052631578947,0_-2_to_3_0,0.7242104411125183,0.7112461328506471,0.7114147543907167,0.7114147543907167,0.709887275912545,0.0009955873004051537,0.7096181309642755,0.7101564208608144,0.275,0.12261700630187988,0.5322263240814209,2.5645997524261475,1.7007956504821777,223.81550192832947,-0.012795686721801647,0.012795686721801647,0.00016372959868249097,-0.012795686721801647,0.012795686721801647,0.00016372959868249097,-0.014323165199973342,0.014323165199973342,0.0002051530613457274,False
auto,0.5257894736842105,0_-2_to_3_0,0.7757894396781921,0.762274444103241,0.7625127434730531,0.7621520757675171,0.7612305184205373,0.0009573240792205049,0.7609692192467298,0.7614918175943449,0.27,0.1251208782196045,0.5249247550964355,2.622368335723877,1.3433623313903809,217.21361112594604,-0.01327669620513905,0.01327669620513905,0.00017627066212355362,-0.013637363910675049,0.013637363910675049,0.00018597769443218226,-0.014558921257654789,0.014558921257654789,0.0002119621881865925,False
auto,0.5773684210526315,0_-2_to_3_0,0.8273685574531555,0.8134881854057312,0.8137700557708741,0.813370943069458,0.8123066531073663,0.0013070453832858867,0.8119747257310039,0.8126385804837286,0.31,0.11833763122558594,0.5164492130279541,2.4920997619628906,1.3065433502197266,240.5977647304535,-0.013598501682281383,0.013598501682281383,0.00018491924800300962,-0.01399761438369751,0.01399761438369751,0.00019593320843469542,-0.015061904345789245,0.015061904345789245,0.00022686096252170495,False
auto,0.6289473684210526,0_-2_to_3_0,0.8789472579956055,0.8650419116020202,0.8652929663658141,0.8649310469627379,0.8627344558636347,0.0009103479849554448,0.8624992880424083,0.8629696236848612,0.3,0.10338473320007324,0.54007887840271,2.508654832839966,1.30031156539917,247.4017698764801,-0.01365429162979137,0.01365429162979137,0.0001864396799113907,-0.014016211032867543,0.014016211032867543,0.00019645417171787783,-0.01621280213197074,0.01621280213197074,0.0002628549529704349,False
auto,0.6805263157894736,0_-2_to_3_0,0.9305263757705688,0.916944980621338,0.9168325066566467,0.9168325066566467,0.9147301614284515,0.0019383910481918691,0.9142010825194358,0.9152592403374673,0.27,0.10646557807922363,0.5332098007202148,1.885767936706543,1.2848491668701172,210.6778106689453,-0.01369386911392212,0.01369386911392212,0.00018752205130923016,-0.01369386911392212,0.01369386911392212,0.00018752205130923016,-0.01579621434211731,0.01579621434211731,0.0002495203875421126,False
auto,0.7321052631578947,0_-2_to_3_0,0.9821053743362427,0.968813180923462,0.9686813354492188,0.9686813354492188,0.9658626299055796,0.0024433641408029916,0.9652472766153466,0.9664779831958126,0.315,0.10631442070007324,0.5390903949737549,1.9089350700378418,1.2785072326660156,253.44595623016357,-0.013424038887023926,0.013424038887023926,0.00018020482004033056,-0.013424038887023926,0.013424038887023926,0.00018020482004033056,-0.016242744430663092,0.016242744430663092,0.0002638267466398369,False
auto,0.7836842105263158,0_-2_to_3_0,1.0336856842041016,1.0206815004348755,1.0205135345458984,1.0205135345458984,1.016937373114414,0.0029492518108396315,1.016182034652957,1.017692711575871,0.305,0.11414074897766113,0.5223910808563232,1.8892827033996582,1.911268711090088,233.0915904045105,-0.013172149658203125,0.013172149658203125,0.0001735055266181007,-0.013172149658203125,0.013172149658203125,0.0001735055266181007,-0.01674831108968755,0.01674831108968755,0.000280505924356951,False
auto,0.8352631578947368,0_-2_to_3_0,1.0852584838867188,1.0767884254455566,1.0766204595565791,1.0766204595565791,1.0693280921466108,0.0055971844035983525,1.0679835016408672,1.0706726826523545,0.345,0.11726164817810059,0.5124194622039795,1.8934745788574219,1.9935741424560547,266.5079116821289,-0.008638024330139604,0.008638024330139604,7.461546432808376e-05,-0.008638024330139604,0.008638024330139604,7.461546432808376e-05,-0.015930391740107908,0.015930391740107908,0.0002537773809932982,False
auto,0.8868421052631579,0_-2_to_3_0,1.1368408203125,1.1411960124969482,1.1162539720535278,1.116237998008728,1.117696301690463,0.004293264235184443,1.1165674454050851,1.118825157975841,0.29,0.11226129531860352,0.5213110446929932,2.8028833866119385,2.484186887741089,249.66132855415344,-0.020586848258972168,0.020586848258972168,0.0004238183212379454,-0.020602822303771973,0.020602822303771973,0.00042447628688080385,-0.01914451862203692,0.01914451862203692,0.00036651259326951846,False
auto,0.9384210526315789,0_-2_to_3_0,1.1883544921875,1.182810664176941,1.178969383239746,1.178969383239746,1.0758482664823539,0.1464434903042208,1.0380179014826167,1.113678631482091,0.3,0.10671305656433105,0.5187366008758545,2.5191304683685303,2.510169506072998,239.60175776481628,-0.009385108947753906,0.009385108947753906,8.808026996121043e-05,-0.009385108947753906,0.009385108947753906,8.808026996121043e-05,-0.11250622570514612,0.11250622570514612,0.012657650822417283,False
