param_value,pcmci_mae,pcmci_rmse,pcmci_bias,bagged_mae,bagged_rmse,bagged_bias,bootstrap_mae,bootstrap_rmse,bootstrap_bias,bootstrap_ci_coverage
0.1,,,,0.007942676544189453,0.007942676544189453,0.007942676544189453,0.015583594640096066,0.015583594640096066,0.015583594640096066,0.0
0.3375,,,,,,,0.014713430404663108,0.014713430404663108,0.014713430404663108,0.0
0.575,,,,,,,0.012775766849517867,0.012775766849517867,0.012775766849517867,0.0
0.8124999999999999,,,,0.007634758949279785,0.007634758949279785,0.007634758949279785,0.014396890997886658,0.014396890997886658,0.014396890997886658,0.0
1.05,,,,0.005674481391906849,0.005674481391906849,0.005674481391906849,0.014505970478057906,0.014505970478057906,0.014505970478057906,0.0
1.2875,,,,,,,0.012746226787567094,0.012746226787567094,0.012746226787567094,0.0
1.525,,,,,,,0.010305702686309814,0.010305702686309814,0.010305702686309814,1.0
1.7625,,,,,,,0.014486968517303467,0.014486968517303467,0.014486968517303467,0.0
2.0,,,,,,,0.006743788719177135,0.006743788719177135,0.006743788719177135,0.0
