param_name,param_value,effect_key,true_effect,pcmci_effect,bagged_effect,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_success_rate,true_effect_time,pcmci_effect_time,bagged_effect_time,bootstrap_effects_time,pcmci_error,pcmci_abs_error,pcmci_squared_error,bagged_error,bagged_abs_error,bagged_squared_error,bootstrap_error,bootstrap_abs_error,bootstrap_squared_error,ci_covers_true
auto,0.1,0_-2_to_3_0,0.3954314589500427,0.21994876861572268,0.2665709555149079,0.25462094836291815,0.02771622896265224,0.24598396340378204,0.26325793332205427,0.42,0.041403770446777344,3.6468160152435303,3.5916361808776855,277.20284247398376,-0.17548269033432004,0.17548269033432004,0.03079417460697086,-0.12886050343513483,0.12886050343513483,0.016605029345556396,-0.14081051058712457,0.14081051058712457,0.01982759989180672,False
auto,0.2,0_-2_to_3_0,0.47541624307632446,0.4010285437107087,0.4010285437107087,0.4112625412997745,0.0102948358634735,0.4080544446056171,0.41447063799393197,0.42,0.023821353912353516,3.907702922821045,3.6064677238464355,293.9810712337494,-0.07438769936561579,0.07438769936561579,0.005533529816909235,-0.07438769936561579,0.07438769936561579,0.005533529816909235,-0.06415370177654994,0.06415370177654994,0.004115697451634507,False
auto,0.30000000000000004,0_-2_to_3_0,0.19790241122245789,,,0.5934816896915436,0.004706027431431661,0.5901152004686984,0.5968481789143888,0.1,0.02306365966796875,0.00012135505676269531,8.535385131835938e-05,80.81449818611145,,,,,,,0.3955792784690857,0.3955792784690857,0.15648296555412244,False
auto,0.4,0_-2_to_3_0,0.5448180437088013,,,0.649195263783137,0.007107378230435148,0.6446794510991426,0.6537110764671313,0.12,0.023272991180419922,0.00011277198791503906,9.34600830078125e-05,86.11787009239197,,,,,,,0.1043772200743357,0.1043772200743357,0.010894604070446307,False
auto,0.5,0_-2_to_3_0,0.6226984858512878,0.6437839269638062,0.6428228616714478,0.658381020738965,0.013450730350631357,0.654189478091358,0.662572563386572,0.42,0.022988080978393555,2.6275229454040527,3.0037789344787598,272.50364542007446,0.02108544111251831,0.02108544111251831,0.0004445958269094774,0.020124375820159912,0.020124375820159912,0.00040499050215103694,0.03568253488767714,0.03568253488767714,0.0012732432960102964,False
auto,0.6,0_-2_to_3_0,0.7712317705154419,0.7327760457992555,0.7477235198020934,0.7471855220695337,0.009012641950138539,0.7445685236437942,0.7498025204952732,0.48,0.023176908493041992,3.819840431213379,4.171538352966309,371.57426953315735,-0.03845572471618641,0.03845572471618641,0.0014788427634471106,-0.0235082507133485,0.0235082507133485,0.0005526378516016502,-0.02404624844590819,0.02404624844590819,0.0005782220643223421,False
auto,0.7000000000000001,0_-2_to_3_0,2.4945125579833984,1.007494926452637,1.007494926452637,1.0073417396080204,0.007335584558804006,1.0050263434239768,1.009657135792064,0.41,0.022623538970947266,3.4345626831054688,3.3747026920318604,279.95334911346436,-1.4870176315307615,1.4870176315307615,2.211221436483356,-1.4870176315307615,1.4870176315307615,2.211221436483356,-1.487170818375378,1.487170818375378,2.2116770430272914,False
auto,0.8,0_-2_to_3_0,5.3364176750183105,,0.9260240793228149,0.9558644374211631,0.048925695647101364,0.9287702902635888,0.9829585845787374,0.15,0.022988557815551758,0.00011658668518066406,4.830059766769409,104.37095284461975,,,,-4.410393595695496,4.410393595695496,19.451571668951843,-4.380553237597147,4.380553237597147,19.18924666742285,False
auto,0.9,0_-2_to_3_0,-13.5808744430542,1.2351397275924683,1.1860501766204834,1.1917397885952359,0.014139155643464671,1.1878425546345226,1.1956370225559492,0.53,0.02331066131591797,5.303178071975708,3.7765402793884277,380.2387583255768,14.816014170646667,14.816014170646667,219.51427590480284,14.766924619674683,14.766924619674683,218.06206272315427,14.772614231649435,14.772614231649435,218.23013123713142,False
cross,0.1,0_-2_to_3_0,0.16485287249088287,,,0.13125041398135098,0.019867252353472503,0.11790341224051781,0.14459741572218415,0.11,0.023209810256958008,0.00012135505676269531,9.393692016601562e-05,106.71425223350525,,,,,,,-0.03360245850953189,0.03360245850953189,0.0011291252178848121,False
