param_value,pcmci_mae,pcmci_rmse,pcmci_bias,bagged_mae,bagged_rmse,bagged_bias,bootstrap_mae,bootstrap_rmse,bootstrap_bias,bootstrap_ci_coverage
0.01,,,,,,,0.009512315550819038,0.009512315550819038,-0.009512315550819038,0.0
0.06157894736842105,0.006341971457004554,0.006341971457004554,-0.006341971457004554,0.006341971457004554,0.006341971457004554,-0.006341971457004554,0.013573424680338751,0.013573424680338751,-0.013573424680338751,0.0
0.1131578947368421,0.007020108401775346,0.007020108401775346,-0.007020108401775346,0.007020108401775346,0.007020108401775346,-0.007020108401775346,0.013000459430065558,0.013000459430065558,-0.013000459430065558,0.0
0.16473684210526315,0.007687389850616455,0.007687389850616455,-0.007687389850616455,0.007687389850616455,0.007687389850616455,-0.007687389850616455,0.012737212533300568,0.012737212533300568,-0.012737212533300568,0.0
0.2163157894736842,0.00834926962852478,0.00834926962852478,-0.00834926962852478,0.00834926962852478,0.00834926962852478,-0.00834926962852478,0.012645522097371686,0.012645522097371686,-0.012645522097371686,0.0
0.26789473684210524,0.009029865264892578,0.009029865264892578,-0.009029865264892578,0.009029865264892578,0.009029865264892578,-0.009029865264892578,0.012886551649946898,0.012886551649946898,-0.012886551649946898,0.0
0.3194736842105263,0.00976136326789856,0.00976136326789856,-0.00976136326789856,0.00976136326789856,0.00976136326789856,-0.00976136326789856,0.01341645265447683,0.01341645265447683,-0.01341645265447683,0.0
0.37105263157894736,0.010573059320449829,0.010573059320449829,-0.010573059320449829,0.010573059320449829,0.010573059320449829,-0.010573059320449829,0.013699733293973504,0.013699733293973504,-0.013699733293973504,0.0
0.4226315789473684,0.01148533821105946,0.01148533821105946,-0.01148533821105946,0.01148533821105946,0.01148533821105946,-0.01148533821105946,0.01403819439841103,0.01403819439841103,-0.01403819439841103,0.0
0.47421052631578947,0.012503087520599365,0.012503087520599365,-0.012503087520599365,0.012792527675628662,0.012792527675628662,-0.012792527675628662,0.014286807898817422,0.014286807898817422,-0.014286807898817422,0.0
0.5257894736842105,0.01361757516860962,0.01361757516860962,-0.01361757516860962,0.01361757516860962,0.01361757516860962,-0.01361757516860962,0.014633143534425797,0.014633143534425797,-0.014633143534425797,0.0
0.5773684210526315,0.014808058738708718,0.014808058738708718,-0.014808058738708718,0.01532280445098888,0.01532280445098888,-0.01532280445098888,0.014863644654934172,0.014863644654934172,-0.014863644654934172,0.0
0.6289473684210526,0.016048312187194824,0.016048312187194824,-0.016048312187194824,0.016048312187194824,0.016048312187194824,-0.016048312187194824,0.014869624376296908,0.014869624376296908,-0.014869624376296908,0.0
0.6805263157894736,0.01730072498321511,0.01730072498321511,-0.01730072498321511,0.01821315288543701,0.01821315288543701,-0.01821315288543701,0.015651822090148926,0.015651822090148926,-0.015651822090148926,0.0
0.7321052631578947,0.018534183502197488,0.018534183502197488,-0.018534183502197488,0.01969313621520996,0.01969313621520996,-0.01969313621520996,0.015335794289906834,0.015335794289906834,-0.015335794289906834,0.0
0.7836842105263158,0.019712328910827637,0.019712328910827637,-0.019712328910827637,0.019712328910827637,0.019712328910827637,-0.019712328910827637,0.01631108292362149,0.01631108292362149,-0.01631108292362149,0.0
0.8352631578947368,0.020810723304748757,0.020810723304748757,-0.020810723304748757,0.022467732429504617,0.022467732429504617,-0.022467732429504617,0.015719951145232613,0.015719951145232613,-0.015719951145232613,0.0
0.8868421052631579,0.02180612087249778,0.02180612087249778,-0.02180612087249778,0.02366781234741211,0.02366781234741211,-0.02366781234741211,0.016069755951563458,0.016069755951563458,-0.016069755951563458,0.0
0.9384210526315789,0.022682547569274902,0.022682547569274902,-0.022682547569274902,0.024693131446837935,0.024693131446837935,-0.024693131446837935,0.015215976565492007,0.015215976565492007,-0.015215976565492007,0.0
0.99,0.023431420326232688,0.023431420326232688,-0.023431420326232688,0.025516510009765625,0.025516510009765625,-0.025516510009765625,0.015548075454822508,0.015548075454822508,-0.015548075454822508,0.0
