param_name,param_value,effect_key,true_effect,true_graph_effect,pcmci_effect,bagged_effect,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_success_rate,bootstrap_effects,true_effect_time,true_graph_effect_time,pcmci_effect_time,bagged_effect_time,bootstrap_effects_time,pcmci_error,pcmci_abs_error,pcmci_squared_error,bagged_error,bagged_abs_error,bagged_squared_error,bootstrap_error,bootstrap_abs_error,bootstrap_squared_error,ci_covers_true
auto,0.01,0_-2_to_3_0,0.2600000500679016,0.3239718377590179,0.26298195123672485,0.2678494155406952,0.28270968794822693,0.020521730184555054,0.09832925757445607,0.46709011832199776,0.1,"[None, None, None, None, None, None, None, 0.2621879577636719, None, None, None, None, 0.303231418132782, None, None, None, None, None, None, None]",0.10065269470214844,0.5056154727935791,0.23824620246887207,1.0860631465911865,4.703282594680786,0.002981901168823242,0.002981901168823242,8.891734580629418e-06,0.007849365472793579,0.007849365472793579,6.161253832548397e-05,0.022709637880325317,0.022709637880325317,0.0005157276526555066,True
auto,0.99,0_-2_to_3_0,1.1875,1.3150053024291992,0.4646180272102356,0.5251107215881348,0.6855635643005371,0.08251301978775087,0.48058986013792404,0.8905372684631502,0.15,"[None, None, None, None, None, None, 0.7681945562362671, None, None, None, None, None, 0.5728920102119446, 0.7156041264533997, None, None, None, None, None, None]",0.11556768417358398,0.48526525497436523,2.7627177238464355,1.8447344303131104,10.723222255706787,-0.7228819727897644,0.7228819727897644,0.5225583465844217,-0.6623892784118652,0.6623892784118652,0.4387595561549915,-0.5019364356994629,0.5019364356994629,0.25194018548268104,False
cross,0.01,0_-2_to_3_0,0.010099947452545166,0.05589861795306206,,,0.05792127177119255,0.0,,,0.05,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.05792127177119255, None]",0.09946274757385254,0.48862576484680176,0.5690300464630127,0.5736689567565918,14.40836238861084,,,,,,,0.047821324318647385,0.047821324318647385,0.0022868790595892557,False
cross,0.99,0_-2_to_3_0,1.970099687576294,2.0212180614471436,2.0231499671936035,2.0739150047302246,2.077039909362793,0.015787165851027636,2.0574375538919,2.096642264833686,0.25,"[None, None, None, None, 2.0869104862213135, None, 2.0814552307128906, None, None, None, None, None, None, None, None, 2.078265428543091, 2.0468404293060303, None, 2.0917279720306396, None]",0.10075211524963379,0.5344364643096924,1.596580982208252,1.9192543029785156,19.55037832260132,0.05305027961730957,0.05305027961730957,0.0028143321674747312,0.10381531715393066,0.10381531715393066,0.01077762007577121,0.1069402217864992,0.1069402217864992,0.011436211035745639,False
noise,0.1,0_-2_to_3_0,0.75,0.7850354313850403,0.825681209564209,,0.8248099982738495,0.002678424119949341,0.8007453123278553,0.8488746842198437,0.1,"[None, None, None, None, None, None, None, None, None, 0.8274884223937988, None, None, None, None, None, None, 0.8221315741539001, None, None, None]",0.10038328170776367,0.48908543586730957,1.6787397861480713,0.00011515617370605469,7.757357120513916,0.07568120956420898,0.07568120956420898,0.0057276454811017175,,,,0.07480999827384949,0.07480999827384949,0.005596535841733363,False
noise,2.0,0_-2_to_3_0,0.7500001788139343,0.7850353121757507,0.8256814479827881,0.8256814479827881,0.8264770209789276,0.0013940632343291681,0.8139518597570287,0.8390021822008266,0.1,"[None, None, None, None, 0.8278710842132567, None, None, None, None, None, None, None, None, None, None, None, 0.8250829577445984, None, None, None]",0.09926319122314453,0.48195576667785645,1.6416306495666504,1.993391990661621,7.634755849838257,0.07568126916885376,0.07568126916885376,0.005727654503008495,0.07568126916885376,0.07568126916885376,0.005727654503008495,0.07647684216499329,0.07647684216499329,0.005848707387529295,False
