param_name,param_value,pcmci_mae,pcmci_rmse,pcmci_bias,bagged_mae,bagged_rmse,bagged_bias,bootstrap_mae,bootstrap_rmse,bootstrap_bias
cross,0.01,,,,,,,0.009074711463993,0.009074711463993,-0.009074711463993
cross,0.061578947368421,0.0054164416331454,0.0054164416331454,-0.0054164416331454,0.0054164416331454,0.0054164416331454,-0.0054164416331454,0.014026837797994,0.014026837797994,-0.014026837797994
cross,0.1131578947368421,0.0061224974505707,0.0061224974505707,-0.0061224974505707,0.0061224974505707,0.0061224974505707,-0.0061224974505707,0.0102311675182965,0.0102311675182965,-0.0102311675182965
cross,0.1647368421052631,0.0068226022952735,0.0068226022952735,-0.0068226022952735,0.0068226022952735,0.0068226022952735,-0.0068226022952735,0.0123022739296737,0.0123022739296737,-0.0123022739296737
cross,0.2163157894736842,0.0075243758917191,0.0075243758917191,-0.0075243758917191,0.0075243758917191,0.0075243758917191,-0.0075243758917191,0.0121319139874232,0.0121319139874232,-0.0121319139874232
cross,0.2678947368421052,0.0082528126952943,0.0082528126952943,-0.0082528126952943,0.0085016950087966,0.0085016950087966,-0.0085016950087966,0.0125868900418999,0.0125868900418999,-0.0125868900418999
cross,0.3194736842105263,0.0090411217575985,0.0090411217575985,-0.0090411217575985,0.0092518032528259,0.0092518032528259,-0.0092518032528259,0.0126547260508643,0.0126547260508643,-0.0126547260508643
cross,0.3710526315789473,0.0099195767740167,0.0099195767740167,-0.0099195767740167,0.0101132362923577,0.0101132362923577,-0.0101132362923577,0.0125896693898863,0.0125896693898863,-0.0125896693898863
cross,0.4226315789473684,0.0109081473123628,0.0109081473123628,-0.0109081473123628,0.0111141672734114,0.0111141672734114,-0.0111141672734114,0.012964608993228,0.012964608993228,-0.012964608993228
cross,0.4742105263157894,0.0120114338480812,0.0120114338480812,-0.0120114338480812,0.0120114338480812,0.0120114338480812,-0.0120114338480812,0.0136291464711433,0.0136291464711433,-0.0136291464711433
cross,0.5257894736842105,0.0132202536152927,0.0132202536152927,-0.0132202536152927,0.0135596203751666,0.0135596203751666,-0.0135596203751666,0.013982153113304,0.013982153113304,-0.013982153113304
cross,0.5773684210526315,0.014513422307531,0.014513422307531,-0.014513422307531,0.014513422307531,0.014513422307531,-0.014513422307531,0.0145024406668359,0.0145024406668359,-0.0145024406668359
cross,0.6289473684210526,0.0158610467681472,0.0158610467681472,-0.0158610467681472,0.0158610467681472,0.0158610467681472,-0.0158610467681472,0.014632092526291,0.014632092526291,-0.014632092526291
cross,0.6805263157894736,0.0172280681470597,0.0172280681470597,-0.0172280681470597,0.0180877489226158,0.0180877489226158,-0.0180877489226158,0.0147693051893413,0.0147693051893413,-0.0147693051893413
cross,0.7321052631578947,0.0185787803697057,0.0185787803697057,-0.0185787803697057,0.0196818694039571,0.0196818694039571,-0.0196818694039571,0.0156081447811315,0.0156081447811315,-0.0156081447811315
cross,0.7836842105263158,0.019880154727772,0.019880154727772,-0.019880154727772,0.0212362943734654,0.0212362943734654,-0.0212362943734654,0.0162995510206069,0.0162995510206069,-0.0162995510206069
cross,0.8352631578947368,0.021101963309001,0.021101963309001,-0.021101963309001,0.021101963309001,0.021101963309001,-0.021101963309001,0.0156891610188838,0.0156891610188838,-0.0156891610188838
cross,0.8868421052631579,0.0222212211652805,0.0222212211652805,-0.0222212211652805,0.0240210055117415,0.0240210055117415,-0.0240210055117415,0.016084461701328,0.016084461701328,-0.016084461701328
cross,0.9384210526315788,0.0232237084788105,0.0232237084788105,-0.0232237084788105,0.0251710962964821,0.0251710962964821,-0.0251710962964821,0.0164132077620591,0.0164132077620591,-0.0164132077620591
cross,0.99,0.0240970325601126,0.0240970325601126,-0.0240970325601126,0.0261222294067071,0.0261222294067071,-0.0261222294067071,0.0158505494642757,0.0158505494642757,-0.0158505494642757
